,RegionName,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,Average2022
82,30213.0,298510.0,305776.0,312613.0,320311.0,329538.0,336882.0,341535.0,342833.0,344073.0,343926.0,344694.0,344814.0,330458.75
83,30215.0,395962.0,401797.0,407002.0,414363.0,424304.0,432310.0,437579.0,442097.0,441995.0,441946.0,440575.0,439379.0,426609.0833333333
84,30214.0,338501.0,343130.0,346981.0,352748.0,360811.0,367089.0,370956.0,374788.0,375635.0,376086.0,375246.0,372258.0,362852.4166666667
85,30216.0,141160.0,145598.0,147789.0,150080.0,151825.0,154476.0,157393.0,159739.0,160540.0,161144.0,161111.0,161402.0,154354.75
86,30297.0,151091.0,155869.0,159241.0,160530.0,162975.0,166368.0,168376.0,169480.0,166802.0,165361.0,165470.0,167579.0,163261.83333333334
87,30218.0,184770.0,190946.0,194188.0,197214.0,198457.0,201799.0,205017.0,207637.0,208602.0,209990.0,211361.0,211977.0,201829.83333333334
88,30641.0,375416.0,384804.0,392703.0,399963.0,408454.0,414010.0,415743.0,413406.0,410606.0,409854.0,410344.0,411411.0,403892.8333333333
89,30220.0,215855.0,223026.0,228710.0,233302.0,236018.0,238211.0,240555.0,243749.0,246399.0,246824.0,247620.0,247411.0,237306.66666666666
90,30017.0,406188.0,411878.0,418885.0,429265.0,438933.0,444912.0,444299.0,442795.0,440945.0,440416.0,440685.0,438553.0,433146.1666666667
91,30222.0,140605.0,145296.0,147547.0,149806.0,150905.0,153410.0,156095.0,157621.0,157843.0,158201.0,158941.0,159357.0,152968.91666666666
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,30233.0,221161.0,227936.0,231396.0,234975.0,237234.0,241570.0,245615.0,249421.0,250897.0,252577.0,252967.0,253549.0,241608.16666666666
